Д/Д,Цооногийн дугаар,Интервал,Дээжийн дугаар,Минераграфи,SEM-EDX,ABM selected,Rock type,Петрографи,New Lithology by Petrographic,Alteration,HOLE_ID,SAMPLE_ID,Petrographic sample,DEPTH_FROM,DEPTH_TO,SAMPLE THICK,ROCK TYPE,SAMPLE_ID,Recvd Wt. kg,Au ppm,Pt ppm,Pd ppm,Cu ppm,Cu %,Ni ppm,Ni %,P ppm,Pb ppm,S %,Sb ppm,Sc ppm,Sr ppm,Th ppm,Ti %,Tl ppm,U ppm,V ppm,W ppm,Zn ppm,Ce ppm,Nb ppm,Rb ppm,Se ppm,Sn ppm,Ta ppm,Te ppm,Y ppm,Zr ppm,Hg ppm,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,Total %,LOI 1000 %
Д/Д,Цооногийн дугаар,Интервал,Дээжийн дугаар,Минераграфи,SEM-EDX,ABM selected,Rock type,Петрографи,New Lithology by Petrographic,Alteration,HOLE_ID,SAMPLE_ID,Petrographic sample,DEPTH_FROM,DEPTH_TO,SAMPLE THICK,ROCK TYPE,SAMPLE_ID,WEI-21,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,OA-GRA05x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SC06,39.3,43353,+,,,,Pyroxenite?-Poorly mineralized, Перидотит ,,SC06,43353,ok,38.6,39.5,0.9,Sandstone,43353,3.79,<0.01,<0.01,<0.01,104,,95,,530,6,0.76,<5,31,269,<20,0.54,<10,<10,185,<10,112,<50,6,<20,<10,<10,<10,10,20,86,,,,,,,,,,,,,,,,,
12,SC07,154.3,43460,+,,,,Dunite,Лерцоли,,SC07,43460,ok,154,156,2,Gabbro ,43460,,0.01,0.01,0.01,343,,350,0.035,130,3,0.97,<5,55,112,<20,0.2,<10,<10,172,<10,45,50,<5,<20,<10,<10,<10,<10,10,11,,4.37,0.01,13.6,0.21,10.42,0.09,18.45,0.15,0.35,0.03,2.3,45.52,0.01,0.33,100.8,4.79
13,SC07,172.5,43471,+,,,,Peridotite,Хувирсан риолит-порфир ,,SC07,43471,ok,172,174,2,Pyroxenite?-Poorly mineralized,43471,,0.06,0.17,0.21,1340,,899,0.0899,110,<2,0.25,<5,34,113,<20,0.09,<10,<10,87,<10,54,50,<5,<20,<10,<10,10,10,<10,6,,2.21,<0.01,9.98,0.38,10.52,0.03,26.6,0.17,0.18,0.02,0.65,41.34,0.01,0.15,101.3,8.75
14,SC07,180,43477,+,,,,Peridotite,Риолит-порфир ,,SC07,43477,ok,179.4,180.4,1,Dunite,43477,,0.01,0.01,0.01,157,,470,0.047,1200,2,0.03,<5,34,75,<20,0.41,<10,<10,242,<10,86,70,<5,<20,<10,<10,<10,<10,10,51,,8.57,<0.01,7.77,0.28,12.33,0.01,23.3,0.24,0.19,0.26,0.05,39.42,0.01,0.67,100.6,7.33
15,SC07,211.6,43494,+,,,,Rhyolite,Кварц-карбонатын метасоматит ,,SC07,43494,ok,210,212,2,Peridotite,43494,,0.11,0.09,0.09,450,,803,0.0803,240,2,0.16,<5,16,120,<20,0.11,<10,<10,72,<10,72,<50,<5,<20,<10,<10,<10,<10,<10,15,,3.65,0.01,4.3,0.42,12.44,0.18,30.6,0.19,0.51,0.05,0.39,40.82,0.01,0.19,100.9,6.92
16,SC07,246.4,43515,+,,,,Metasediment,Плагиоклаз-кварц- кальцитын метасоматит ,,SC07,43515,ok,248,250,2,Peridotite,43515,,0.02,0.04,0.04,122,,811,0.0811,290,2,0.08,<5,17,137,<20,0.11,<10,<10,74,<10,74,<50,<5,<20,<10,<10,10,<10,<10,14,,3.65,<0.01,4.52,0.42,12.12,0.2,30.9,0.18,0.51,0.06,0.16,41.09,0.01,0.19,100.05,5.89
17,CRS02,11.4,43523,,,,,Rhyolite,Плагиоклаз-кварц- кальцитын метасоматит,,CRS02,43523,ok,11,12,1,Rhyolite,43523,,<0.01,<0.01,<0.01,3,,4,,290,54,0.02,<5,3,263,<20,0.11,<10,<10,12,<10,26,<50,<5,40,<10,<10,<10,<10,10,80,,,,,,,,,,,,,,,,,
18,CRS02,28,43542,+,,x,,Listvenite,Амфиболит,,CRS02,43542,ok,28,29,1,Rhyolite,43542,,<0.01,<0.01,<0.01,2,,9,,320,51,0.02,<5,4,231,<20,0.13,<10,<10,18,<10,40,<50,<5,50,<10,<10,<10,<10,10,78,,,,,,,,,,,,,,,,,
19,CRS02,38.2,43554,,,,,Breccia ,Амфиболит,,CRS02,43554,ok,38,39,1,Listvenite,43554,,<0.01,<0.01,<0.01,27,,929,,150,4,0.07,<5,13,108,<20,0.09,<10,<10,77,<10,47,<50,6,<20,<10,<10,<10,10,<10,12,,,,,,,,,,,,,,,,,
20,CRS02,54.7,43569,,,,,Metasediment,Пироксент роговик ,,CRS02,43569,ok,53,55,2,Metasediment,43569,,<0.01,<0.01,<0.01,46,,32,,260,2,0.31,<5,13,62,<20,0.2,<10,<10,19,<10,64,<50,<5,20,<10,<10,<10,<10,10,20,,,,,,,,,,,,,,,,,
