Arrived chips,#,Drillhole,Sample interval,Sample Number ,Petrographer,Year,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Field Lithology description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,,,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Total %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
Arrived chips,#,Drillhole,Sample interval,Sample Number ,Petrographer,Year,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,EDS,EPMA,Field Lithology description,Micro - description,Texture,Rock forming minerals,Alteration,Ore minerals and paragenesis,Brief petrographic description,,,Microscope - Rock name,Sc vs Al plot,,,,,,,,,,,,,,,,,,,,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
,12,OVD-002,87.4m,40902,Mireslab,2023,x,,,,,,,oxidazed gabbro,Pelitic rock ,massive,,,,,,,Phyllite,,,,,,,,,,,,,,,,,,,,,13.1,66,0.002,0.01,0.002,0.17,8.31,5,85,0.6,0.05,5.59,0.07,17.9,24,6.86,17.4,0.63,81,1.95,2596,0.46,2.72,0.0817,5.7,0.29,0.13,348,1,0.64,0.06,0.65,187,0.4,102,98,,13.5,2,0.08,0.9,,,3.11,,0.14,28.7,25.3,8.8,21.1,,,,,,0.83,,,,,2.9,0.42
,14,OVD-002,44.2m,40904,Mireslab,2023,x,,,,,eds,,gossan,,"Hollocrystalline, Ophitic","Pl, Amph","Ser,Chl","Py,Cpy",,,,,Mafic (Pyroxenite),13.75,,4.7,0.06,13.98,0.52,10.18,0.17,2.35,0.26,4.17,44,,1.09,,0.33,0.03,0.02,96.68,2455,2769,0.026,0.03,0.03,1.81,7.4,24,182,,0.6,3.1,0.9,149,392,9.61,17,0.27,24,6.11,1253,,,0.09,17,2.46,0.3,400,1.6,0.61,,0.69,149,,113,118,,6.1,5,,2,0.37,0.4,3,2,,21,23,13.8,31,4.24,18.5,4,1.3,4.75,0.65,4.08,0.81,2.17,0.32,2.2,0.31
,16,OVD-002,126.4m,40906,Mireslab,2023,x,,,,,,,spotted,Black schist,Schistous,,"chl,illite,smec",,,,,Schist,,,,,,,,,,,,,,,,,,,,,65.5,90.4,0.002,0.01,0.003,0.13,9,5,231,0.8,0.06,3.55,0.09,26.7,150,6.88,20.1,1.14,86,2.68,1107,0.42,2.5,0.0558,8.2,0.71,0.21,456,1.7,0.49,0.11,0.98,159,0.4,89,91.6,,21.5,3.1,0.06,0.8,,,2.89,,0.21,22.4,30.7,10,23.3,,,,,,0.66,,,,,2.3,0.33
,19,OVD-002,51.6m,40909,Mireslab,2023,x,,,,,,,,Amphibole micro-gabbro,equigranular crystalline,"Pl, Amph",Chl,,,,,Amph Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,102,91.79999999999998,0.001,0.01,0.005,,7.99,7,158,0.9,,0.39,0.04,30.4,171,8.25,22.8,1.36,71,3.15,1020,0.27,1.58,0.0322,3.4,0.28,0.11,146,0.5,0.23,0.1,0.6,172,0.3,69,22.9,,11.5,1.6,0.04,0.3,,,1.07,,0.11,6.3,28.8,2.5,6.65,,,,,,0.26,,,,,1.1,0.17
,20,OVD-002,37m,40910,Mireslab,2023,x,,,,,,,schist?,Amphibole gabbro,"Hollocrystalline, Ophitic","Pl, Amph",,,,,,Amph Gabbro,Mafic (Pyroxenite),10.6,,4.28,0.1,15.52,0.37,15.09,0.17,1.3,0.26,4.51,42.08,,0.89,,0.49,0.02,0.02,96.57,3441,4213,0.052,0.06,0.063,3.11,5.74,,147,,1.4,2.83,1.5,175,658,10.97,13,0.17,22,9.46,1208,,,0.09,17,2.75,0.2,290,1.7,0.51,,0.49,126,,97,95.3,,4,3,,2,1.02,0.2,2,2,,17.4,18,12.9,29.1,3.93,17.2,3.7,1.2,3.79,0.57,3.36,0.65,1.78,0.25,1.8,0.23
,21,OVD-002,75.5m,40911,Mireslab,2023,x,,,,,,,gabbro,Strong altered diabase,,,,,,,,Diabase,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,68.3,98.6,0.003,0.01,0.004,0.22,7.83,6,224,1,0.07,0.92,0.09,28.3,106,7.3,21.5,1.57,76,2.44,1040,0.7,2.19,0.0591,7.6,0.99,0.27,427,1.2,0.39,0.14,0.96,188,0.3,108,86.1,,26.1,2.6,0.09,0.9,,1,2.86,,0.17,15.8,27.4,8,18.7,,,,,,0.52,,,,,2,0.3
,22,OVD-002,137.6m,40912,Mireslab,2023,x,,,,,,,spotted,Black Schist (weak schistosity),,,,,,,,Schist,,,,,,,,,,,,,,,,,,,,,37.4,66.2,0.001,0.01,0.003,0.15,8.86,4,164,0.6,0.04,2.53,0.09,21.7,82,6.89,19.3,0.84,89,2,1112,0.31,4.14,0.0375,4.6,0.71,0.22,336,0.7,0.55,0.08,0.36,166,0.3,96,66.7,,7.5,2.2,0.06,0.9,,,2.35,,0.15,16.1,24.3,3.9,9.99,,,,,,0.51,,,,,1.9,0.25
,8,OVD-003,157.5m,40530,Mireslab,2023,x,,,,,eds,,schist,Amphibole micro-gabbro,Hollocrystalline,"Pl, Amph",ser,,,,,Amph Gabbro,Mafic (Pyroxenite),11.38,0.12,5.13,0.09,14.31,0.32,13.59,0.17,1.62,0.25,4.16,41.86,,0.92,,0.15,,,94.99000000000001,2793,3680,0.037,0.04,0.048,2.48,6.49,,154,,1,3.83,1,152,653,11.34,14,0.17,25,8.81,1264,,,0.1,14,2.87,,390,1.1,0.58,,0.46,138,,100,90.3,,3.9,5,,2,0.83,0.4,3,2,,19.9,22,11.9,28.3,3.73,16.5,4.2,1.23,4.32,0.6,3.34,0.78,2.21,0.3,1.9,0.3
,28,OVD-003,155.3m,41012,Khanlab,2023,x,,,,,,,Gabbro,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Nevadite porphyritic, sub-ophitic, poikiloophitic","Alt Pl-45-50%, Hb-35-40%, Cpx-5-10%, Bt-1-3%",Serp-Talc-Act-Chl-Ser-Carb,Mag-illm-Py-Cpy,"similar description as OVD008-88.9, plus serpitinization observed in the sample",,,Px-Hb Gabbro,Mafic (Pyroxenite),12.2,0.05,5.87,0.09,11.59,0.33,14.15,0.18,2.05,0.25,1.73,45.04,,1.02,,0.07,,,95.63999999999999,1257,1098,0.012,0.01,0.013,0.53,6.84,,157,,0.3,4.31,0.5,104,655,9.04,14,0.2,23,8.97,1283,,,0.11,9,0.89,0.2,460,1.4,0.63,,0.49,147,,97,90.6,,3.9,5,,,0.26,0.3,3,2,,22,23,14.4,30.6,4.03,18,4.5,1.4,4.82,0.66,3.9,0.84,2.18,0.34,2,0.31
,1,OVD-004,36m,40579,Mireslab,2023,x,,,,,,,gabbro,Amphibole micro-gabbro,"Hollocrystalline, Ophitic","Pl, Amph","Ser, Chl",,,,,Amph Gabbro,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,567,224,0.002,0.01,0.004,0.22,12.53,13,289,1,0.09,0.61,0.34,40.2,138,8.27,22.2,1.78,94,2.66,888,3.36,1.49,0.077,8.2,0.49,0.39,468,1.1,0.5,0.21,1.63,191,0.6,107,73.2,4,21.3,3.2,0.09,1,0.09,2,2.26,,0.22,13.3,30.2,5.3,13.4,,,,,,0.46,,,,,1.8,0.26
