Arrived chips,#,Drillhole,Sample interval,Sample Number ,Petrographer,Year,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Field Lithology description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,,,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Total %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
Arrived chips,#,Drillhole,Sample interval,Sample Number ,Petrographer,Year,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,EDS,EPMA,Field Lithology description,Micro - description,Texture,Rock forming minerals,Alteration,Ore minerals and paragenesis,Brief petrographic description,,,Microscope - Rock name,Sc vs Al plot,,,,,,,,,,,,,,,,,,,,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
,47,OVD-007,55.9m,41031,Khanlab,2023,x,,,,,,,Gabbro,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Alt Pl-40-45%, Hb-40-45%, Cpx-10-15%, Bt-1-3%","Nevaditic porphyritic, sub-ophitic, poikiloophitic",Talc-Soss-Act-Chl-Epi-Ser-Carb,Mag-illm-Py,it was defined same as OVD008-88.9,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),13.97,0.05,5.52,0.06,12.34,0.44,13.8,0.23,1.73,0.14,2.51,41.9,,0.46,,0.04,,,93.64999999999998,785,716,0.004,0.01,0.01,1.14,7.45,,343,,0.2,4.03,,88.7,476,9.07,16,0.78,39,8.55,1601,,,0.05,7,1.4,0.2,856,0.6,0.28,,0.39,198,,87,20.2,,7.3,1,,,0.23,0.5,1,4,,12.4,30,6.1,15.5,2.1,10.1,2.4,0.92,2.7,0.41,2.54,0.46,1.18,0.2,1.3,0.19
,26,OVD-008,84.5m,40763,Mireslab,2023,x,,,,,,,gabbro,Intensively altered fine-meduim grained olivine-amphibole gabbro (melanocratic gabbro),"Hypidiomorph, poikiloophitic","Pl-20-30%, Amph-40-45%, Ol-10-15%, Bt-5%",Serp-Talc-Soss-Act-Chl-Ser-Carb,Po-Cpy-Pn-Mag,,,,Ol-Gabbro or Hb-Perdidotite,Ultramafic (Harzburgite/Dunite),7.91,0.02,4.13,0.16,19.64,0.39,17.74,0.18,1.02,0.17,5.43,39.66,,0.63,,0.15,0.01,,97.86999999999999,3576,5492,0.053,0.04,0.01,3.24,4.7,,120,,1.7,3.05,1.7,250,901,13.32,9,0.31,20,10.37,1166,,,0.07,38,3.88,,308,1.4,0.38,,0.38,100,,101,69.9,,5.3,2,,2,0.93,0.6,1,1,,14.5,13,9.2,22.1,3.12,12.7,3.5,0.87,2.67,0.46,2.51,0.51,1.69,0.21,1.4,0.2
,29,OVD-008,40.1m,41013,Khanlab,2023,x,,,,,,,Gabbro,Intensive metasomatic altered gabbrodiorite porphyry,"Relict porphyriric, microgranoblast, massive","Alt Pl-30-35%, Hb-30-35%",Ser-Pelite-Act-Epi-Chl-Qtz,illm-Py-Cpy,"Same as above sample. Plus, ore minerals usually associated with Hb phases. ",,,Porphyritic Gabbrodiorite,Mafic (Pyroxenite),12.67,0.03,7.23,0.09,10.47,0.63,12.53,0.17,1.94,0.2,0.14,46.93,,0.76,,,0.01,,94.56000000000002,278,34,0.001,0.01,0.01,,7.21,,229,,,5.66,,62.7,712,7.49,15,0.66,22,7.64,1321,,,0.09,9,0.1,0.1,632,1.2,0.5,,0.36,144,,68,84,,8.6,3,,,0.2,0.5,2,2,,16.9,27,11.9,29.7,3.76,16.8,3.7,1.23,4.11,0.57,3.41,0.67,1.92,0.25,1.8,0.26
,40,OVD-008,90.5m,41024,Khanlab,2023,x,,,,,,,Gabbro,Intense mineralized quartz diorite porphyry (Andesite-dacite),"Porphyritic, hypidiomorphic","Alt Pl-75-80%, Alt Bt-10-15%, Qtz-5-10%",Ser-Pelite-Chl-Mus-Epi-Qtz,Mag-Py-Po-Cpy,"Pl altered by sericite, carbonate, pelite. Intergranular space between Pl filled with Bt-muscovite pseudomorphs after mafic minerals",,,Porphyritic Qtz Diorite,Mafic (Pyroxenite),11.94,0.03,1.81,,29.55,0.67,2.69,0.12,3.67,0.09,7.23,38.28,,0.59,,0.08,0.01,,97.35000000000001,9086,12000,0.053,0.06,0.01,6.25,6.8,9,107,,3.7,1.36,3.7,397,61,20.17,17,0.51,65,1.41,786,3,,,101,10.98,,209,1.5,0.39,,0.97,110,3,116,27.7,,11.9,3,0.5,4,2.11,0.8,3,2,,20.6,14,7.1,17.3,2.57,10.7,3.1,0.77,2.95,0.54,3.68,0.66,2.55,0.35,2.1,0.32
,44,OVD-008,27.3m,41028,Khanlab,2023,x,,,,,,,Gabbro,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","Alt Pl-55-60%, Hb-35-40%, Cpx-few, Bt-few, Qtz-few",Ser-Mus-Soss-Chl-Act-Carb,"Geothite, Hydrogoethite",Small Cpx relicts observed as an inclusion in Hb. Large porphyry like Cpx partially including Pl creating poikiloophitic texture. ,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),13.55,0.04,6.21,0.06,9.36,0.71,9.83,0.16,2.97,0.24,,47.96,,0.69,,,,,92.47,204,31,0.001,0.01,0.01,0.12,7.61,,261,,,4.82,,46.7,498,6.57,16,0.77,17,5.65,1149,,,0.1,7,0.01,0.2,626,1.7,0.46,,0.31,133,1,66,93.1,,11.1,4,,,0.22,0.4,3,2,,20.6,24,16.4,39.8,4.89,21.3,4.7,1.43,4.76,0.71,4.1,0.82,2.33,0.33,2.3,0.32
,45,OVD-008,60.3m,41029,Khanlab,2023,x,,,,,,,Gabbro,Altered porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry) ,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","Alt Pl-30-35%, Hb-45-50%, Cpx-15-20%",Ser-Soss-Chl-Act-Talc,Mag-illm-Py-Po-Cpy,"same as above sample. Plus, Cpx are not altered. Bt are completely replaced by Chl. ",,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),9.93,0.02,5.81,0.13,11.8,0.33,17.37,0.19,1.13,0.19,0.24,44.77,,0.65,,,0.02,,93.23,423,44,0.001,0.01,0.01,0.41,5.4,,152,,,4.27,,72.6,874,7.72,11,0.42,31,9.69,1299,,,0.08,8,0.06,0.1,399,1,0.39,,0.42,118,,75,99.7,,5.1,2,,,0.22,0.8,2,1,,12.6,23,9.5,24.6,3.02,14,3,0.96,3.36,0.43,2.84,0.56,1.47,0.2,1.4,0.23
,46,OVD-008,88.9m,41030,Khanlab,2023,x,,,,,,,Gabbro,Porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry) ,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","Alt Pl-40-45%, Hb-35-40%, Px-15-20%, Bt-1-3%",Ser-Epi-Chl-Act-Talc-Carb,Mag-illm-Py-Cpy,"the rock is strongly mineralized and big sulphide blebs and semimassive, but the rock is Gabbro!. The sample needs to reanalysed",,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),10.32,0.05,5.11,0.1,15.63,0.41,13.2,0.17,1.55,0.27,4.17,43.22,,0.82,,0.05,,,95.88999999999999,2542,2592.9999999999995,0.018,0.02,0.01,1.33,6.18,,167,,0.4,3.78,0.7,175,588,10.27,13,0.34,38,7.63,1066,,,0.11,27,2.57,0.1,497,1.3,0.55,,0.57,123,,83,43.8,,6.1,3,,2,0.33,0.9,2,2,,20.8,17,12.1,29.3,4.21,17.5,4.5,1.13,3.88,0.61,3.86,0.67,2.52,0.33,1.9,0.27
,48,OVD-008,39.5m,41032,Khanlab,2023,x,,,,,,,Gabbro,Altered porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry) ,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","Alt Pl-30-35%, Hb-50-55%",Ser-Mus-Soss-Chl-Act-Carb,illm-Py-Po-Cpy,Hb crystals partially replaced by Act and talc. Some Act-Talc pseudomorphs could be formed from Opx. Sometimes those pseudomorphs includes Cpx relic agregates,,,Porphyritic Px-Hb Gabbro?,Mafic (Pyroxenite),12.69,0.03,7.01,0.09,10.45,0.61,12.21,0.17,2.28,0.21,0.17,46.44,,0.77,,,,,93.89999999999999,237,35,0.001,0.01,0.01,0.06,7.01,,228,,,5.36,,57.8,628,6.99,14,0.68,25,6.95,1248,,,0.09,6,0.12,0.2,638,1.3,0.5,,0.48,145,6,66,105,,8.3,3,,,0.52,0.5,2,2,,17.5,27,12.2,30.4,3.76,17.1,3.9,1.26,4.05,0.59,3.38,0.68,2.07,0.29,1.7,0.27
,25,OVD-009,72m,40915,Mireslab,2023,x,,,,,eds,,gossan,Altered Amphibole-Orthopyroxene micro-gabbro,,,,,,,,Amph-Opx Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,203,44.2,0.001,0.01,0.001,,7.26,3,174,0.6,,5.77,0.07,51.1,417,7.25,15.4,0.45,20,7.15,1269,0.63,2.38,0.1167,1.6,0.09,,673,1.2,0.63,0.02,0.53,167,,78,84.6,,6.4,3.7,0.05,0.6,,,0.58,,0.22,20.7,29.1,13.9,34.2,,,,,,0.66,,,,,2.1,0.3
,30,OVD-009,195.2m,41014,Khanlab,2023,x,,,,,,,Gabbro,"Mineralized, altered porphyritic fine -medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?)  ","Porphyritic, sub-ophitic, poikiloophitic","Alt Px-50-55%, Alt Ol-15-20%, Hb-10-15%, Bt-8-10%",Serp-Talc-Act-Chl-Mus-Ser-Carb,Mag-illm-Chromite-Po-Cpy,The rock composition and alteration is similar to Hb-Peridotite which is described in OVD021,,,Hb-Px Gabbronorite,Ultramafic (Harzburgite/Dunite),7.65,0.02,5.3,0.15,13.74,0.35,20.36,0.21,0.44,0.2,3.65,40.31,,0.67,,0.17,0.02,,93.91,1857,1509,0.03,0.02,0.03,0.8,4.38,13,69,,0.3,3.73,0.5,136,950,10.14,10,,41,12.53,1506,,,0.08,6,1.56,,328,0.6,0.39,,0.37,93,,95,67.7,,8.4,3,,,0.31,1.7,2,2,,13.5,14,8.9,20.7,2.7,12.3,2.6,0.89,2.95,0.4,2.8,0.56,1.27,0.24,1.4,0.21
,31,OVD-009,149.5m,41015,Khanlab,2023,x,,,,,,,Gabbro,Altered gabbrodiorite porphyry,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-75-80%, Hb-15-20%",Act-Chl-Epi-Ser-Carb,illm-Tnt-Py-Cpy,,,,Pophyritic Gabbrodiorite,Mafic (Pyroxenite),13.44,0.03,5.56,0.1,12.25,0.63,12.78,0.18,2.54,0.19,2.81,43.98,,0.75,,0.2,0.02,,96.21,1432,1419,0.013,0.01,0.017,0.77,6.56,8,162,,0.2,3.63,0.6,116,601,8.22,14,0.32,27,7.03,1117,,,0.08,12,1.32,,375,0.8,0.43,,0.44,129,,78,81.3,,9,3,,1,0.3,0.5,2,1,,16.1,18,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28
,32,OVD-009,171.5m,41016,Khanlab,2023,x,,,,,,,Gabbro,Mineralized and altered fine- medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?) ,"Panidiomorphic, poikiloophitic, poikilitic","Alt Px-40-45%, Alt Ol-15-20%, Hb-10-15%, Alt Pl-10%, Bt-1-3%",Serp-Talc-Act-Bt-Chl-Ser-Carb,Mag-illm-Chromite-Pn-Po-Cpy,The rock composition and alteration is similar to Hb-Peridotite which is described in OVD021,,,Hb-Peridotite?,Ultramafic (Harzburgite/Dunite),4.23,,2.75,0.15,29.33,0.13,18.87,0.18,0.14,0.06,7.24,28.47,,0.29,,0.19,,0.01,92.32000000000002,1.2,16800,0.233,0.14,0.193,11,2.97,,42,,4.8,2.11,4.5,443,1113,24.74,6,,0,13.15,1427,,,0.05,101,9.69,,197,0.2,0.21,,0.1,59,,153,35,,2.2,1,0.3,4,4.13,0.5,,1,,5.6,10,3.3,8.1,1.04,4.8,1,0.38,1.12,0.17,1.25,0.21,0.55,0.09,0.6,0.09
,33,OVD-009,161m,41017,Khanlab,2023,x,,,,,,,Gabbro,Mineralized altered porphyritic medium-fine grained hornblende pyroxene melanocratic gabbronorite (Peridotite?) ,"Porphyritic, sub-ophitic, poikiloophitic","Serp pseudo aft Ol-Px-55-60%, Hb-15-20%, Alt Pl-10-15%, Bt-5%",Serp-Chl-Act-Bt-Ser-Carb,Mag-illm-Chromite-Pn-Po-Cpy,The rock composition and alteration is similar to Hb-Peridotite which is described in OVD021,,,Hb-Px Gabbronorite or Peridotite,Ultramafic (Harzburgite/Dunite),8.02,0.06,2.86,0.15,17.36,0.24,21.39,0.18,0.12,0.15,4.95,40.02,,0.63,,0.41,0.01,,97.17999999999999,3870,4165,0.044,0.04,0.053,2.51,4.43,,57,,1.1,2.04,1.2,220,1090,12.85,10,,28,13.2,1327,,,0.08,13,3.06,,156,0.5,0.42,,0.28,96,,102,68.7,,4,3,,1,0.98,1.1,2,1,,12.5,15,7.7,18.4,2.42,10.4,2.6,0.81,2.65,0.41,2.64,0.51,1.33,0.17,1.4,0.18
,34,OVD-009,80.8m,41018,Khanlab,2023,x,,,,,,,Gabbro,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry),"Nevadite porphyritic like, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-35-40%, Cpx-few, Bt-3-5%",Talc-Soss-Act-Chl-Ser-Carb,illm-Chromite-Tnt-Py-Cpy,generally similar rock as OVD009-17.2,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,210,36.3,0.001,0.01,0.001,,6.03,,187,0.6,,5.17,0.06,51.8,440,7.07,13.9,0.49,21,7.36,1233,0.66,2.3,0.0963,1.9,0.11,0.06,621,1.4,0.5,0.03,0.45,157,,79,87.3,,6.5,3.5,0.05,0.6,,,0.57,,0.26,19.7,31.7,13.1,30.9,,,,,,0.63,,,,,2,0.3
,35,OVD-009,17.2m,41019,Khanlab,2023,x,,,,,,,Gabbro,Porphyritic fine-grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Nevadite porphyritic, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-35-40%, Qtz-5-8%",Soss-Act-Mus-Ser-Chl-Carb,illm-Mag-Chromite-Tnt-Py-Cpy-Covelline,same rock as above,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,177,42.4,0.001,0.01,0.01,,7.62,2,142,0.6,,6.47,0.06,44.8,293,6.82,15.7,0.47,30,6.08,1074,0.73,2.26,0.0974,1.9,,,569,1,0.54,0.04,0.43,167,,69,72.8,,7.8,3,0.05,0.5,,,0.54,,0.21,17.5,29.7,12.1,29.7,,,,,,0.59,,,,,1.8,0.26
,36,OVD-009,143m,41020,Khanlab,2023,x,,,,,,,Gabbro,Mineralized porphyritic fine grained hornblende-olivine-pyroxene melanocratic gabbro,"Sub-ophitic, poikiloophitic","Hb-20-25%, Cpx-15-20%, Alt Ol-15-20%, Bt-5-10%",Serp-Talc-Act-Chl-Bt-Ser-Mus,illm-Mag-Pn-Chromite-Po-Cpy,,,,Ol-Gabbro or Hb-Perdidotite,Ultramafic (Harzburgite/Dunite),7.45,0.11,3.95,0.16,20.9,0.39,18.82,0.18,0.47,0.16,6.2,37.87,,0.54,0.01,0.6,,,98.35000000000001,4923,5553,0.046,0.04,0.048,2.74,4.24,,107,,1.4,2.97,1.3,300,1224,15.6,9,0.23,20,12.1,1345,,,0.07,29,4.81,,309,0.8,0.35,,0.28,94,,108,59.2,,6.7,2,,1,1.01,1.2,2,1,,11.3,14,8.4,19.8,2.57,10.6,2.6,0.8,2.67,0.38,2.3,0.47,1.13,0.17,1.2,0.16
,37,OVD-009,126.7m,41021,Khanlab,2023,x,,,,,,,Gabbro,"Schistose, carbonatized and intense altered gabbrodiorite-porphyry (Metasomatite by gabbrodiorite porphyry) ","Relict porphyritic, microgranoblast","Alt Pl-30-35%, Ser+Chl Pseudo-30-35%, ",Ser-Chl-Carb-Qtz,illm-Py-Tnt,Strong carbonatization occurred,,,Porphyritic Gabbrodiorite,Mafic (Pyroxenite),10.48,0.02,7.54,0.1,9.48,0.13,14.29,0.15,2.14,0.2,0.5,43.51,,0.64,,0.02,0.01,,89.85,500,231.99999999999997,0.001,0.01,0.001,,6.15,21,98,,,5.88,,71.1,738,7.27,12,,41,8.98,1154,,,0.1,10,0.24,,412,1.6,0.43,,0.53,118,,74,83.3,,2.2,3,,,,0.2,2,1,,16.3,19,13,28.6,3.6,16,3.4,1.13,3.37,0.52,3.03,0.61,1.47,0.28,1.7,0.23
,38,OVD-009,11.3m,41022,Khanlab,2023,x,,,,,,,Gabbro,Altered gabbrodiorite porphyry,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-60-65%, Alt Hb-20-25%, Alt Bt-10-15%, Qtz-5-7%",Serp-Chl-Act-Ser-Leuc-Carb-Qtz,illm-Chromite-Py-Goethite-Hydrogoethite,"Hb are strongly altered to chlorite actinolite, sometimes completely replaced by serpentine and chlorite. ",,,Porphyritic Gabbrodiorite,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,140,30.1,0.001,0.01,0.44,0.19,7.26,6,278,0.7,,5.4,0.03,34.2,283,5.65,15.2,0.43,67,4.32,790,0.9,2.23,0.1036,3.2,,0.1,312,1.4,0.35,0.05,0.57,116,0.1,64,59,,9,2.4,0.04,0.4,,,0.5,,0.18,13.7,20.6,16.3,37.6,,,,,,0.49,,,,,1.3,0.18
,39,OVD-009,151.6m,41023,Khanlab,2023,x,,,,,,,Gabbro,Porphyritic fine grained pyroxene hornblende  gabbro (Altered gabbro porphyry),"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-25-30%, Cpx-5-10%",Act-Chl-Epi-Mus-Ser-Carb-Qtz,illm-Tnt-Py-Cpy,,,,Porphyritic Px-Hb Gabbro,Mafic (Pyroxenite),13.7,0.05,6.32,0.06,12.53,0.67,9.7,0.16,2.66,0.19,4.17,45.14,,0.67,,0.3,0.01,,97,2254,2675,0.023,0.03,0.033,1.54,6.76,,148,,0.7,4.14,0.8,157,468,8.45,16,0.33,22,5.21,1072,,,0.08,11,2.31,,399,1,0.4,,0.5,112,,71,87.7,,11.1,3,,1,0.66,0.3,3,1,,16.9,18,13.3,30.3,3.96,17,3.7,1.19,3.74,0.53,3.43,0.68,1.51,0.27,1.9,0.24
,49,OVD-009,149.8m,41033,Khanlab,2023,x,,,,,,,Gabbro,Altered gabbro porphyry,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-50-55%, Hb-20-25%, Cpx-10-15%, Qtz-5%",Act-Chl-Epi-Ser-Carb-Qtz,illm-Tnt-Py-Cpy,,,,Porphyritic Gabbro,Mafic (Pyroxenite),13.44,0.03,5.56,0.1,12.25,0.63,12.78,0.18,2.54,0.19,2.81,43.98,,0.75,,0.2,0.02,,96.21,1432,1419,0.013,0.01,0.017,0.77,6.56,8,162,,0.2,3.63,0.6,116,601,8.22,14,0.32,27,7.03,1117,,,0.08,12,1.32,,375,0.8,0.43,,0.44,129,,78,81.3,,9,3,,1,0.3,0.5,2,1,,16.1,18,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28
,50,OVD-009,190.8m,41034,Khanlab,2023,x,,,,,,,Gabbro,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry) ,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-30-35%, Cpx-5-10%",Ac-Chl-Epi-Ser-Carb-Qtz,illm-Chromite-Tnt-Py-Po-Cpy,,,,Porphyritic Px-Hb Gabbro,Ultramafic (Harzburgite/Dunite),7.09,0.08,3.61,0.13,19.79,0.33,20.06,0.17,0.7,0.15,5.41,37,,0.49,,0.5,0.01,,96.00999999999999,5333,9775,0.146,0.11,0.133,7.45,4.14,15,99,,3.2,2.64,3,254,961,14.72,9,0.15,19,12.75,1301,,,0.07,64,4.06,,319,0.5,0.33,,0.26,81,,114,58.9,,6.3,3,,3,2.69,0.8,2,1,,10,12,7.2,16.5,2.13,9.5,2.2,0.7,2.23,0.32,1.97,0.4,1.19,0.17,1,0.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,1,CRS01A,CRS01A-41.4,CRS01A-41.4,,,X,,x,,x,,,Metasedimentary with intense phyllic alteration ,Mineralized Amph-Pl gneiss (from diorite),,,,,,,,Amph-Pl Gneiss,,,,,,,,,,,,,,,,,,,,,93,1350,0.23,,,,7.36,1,319,0.1,0.3,0.12,6.01,67.6,338,13.78,12.4,0.09,32,6.62,917,2.7,0.07,0.005,30.2,4.36,0.07,18.7,0.3,0.18,0.32,0.51,218,0.4,1274,16.7,4,3.4,3.6,0.15,,0.43,2,0.7,,0.16,5.2,33,2.1,5.46,,,,,,0.13,,,,,0.8,0.12
x,2,CRS01A,CRS01A-53.4,CRS01A-53.4,,,X,,x,,x,,,Metasedimentary with intense phyllic alteration ,Mineralized qtz-actinolite-albite gneiss (after gabbrodiorite),,,,,,,,Qtz-Act-Ab Gneiss,,,,,,,,,,,,,,,,,,,,,83,3940,0.39,,,,6.89,,2583,0.1,0.22,0.1,6.8,65.5,256,13.1,11.8,0.12,24,6.34,827,5.53,0.08,0.005,26.2,2.94,0.36,90.2,0.3,0.17,0.6,0.56,206,0.3,1451,19.2,,3.4,2.6,0.17,0.3,0.24,2,0.58,,0.13,4,29.7,1.6,4.37,,,,,,0.12,,,,,0.5,0.1
x,3,CRS01A,CRS01A-61.3,CRS01A-61.3,,,X,,x,,x,,,Meta sediment with strong phyllic alteration as a vein like texture. There is Q+Py veinlets with chlorite halo. The phyllic alteration has a sericite halo. Py rich and with magnetitization,"Mineralized, cordierite-actinolite metasomatite",,,,,,,,Cor-Act Metasomatite,,,,,,,,,,,,,,,,,,,,,59,1470,0.17,,,,5.42,3,623,0.1,0.18,2.52,1.54,50.8,175,11.66,8.7,0.38,18,7.23,1645,8.31,0.08,0.005,23.8,3.85,0.25,67.9,0.2,0.13,0.35,0.99,167,3.6,555,16,3,8.4,2.2,0.17,0.6,1.96,,0.54,,0.12,6.8,22.4,2.5,4.8,,,,,,0.16,,,,,0.7,0.12
x,4,CRS01A,CRS01A-81,CRS01A-81,,,X,,x,,,,,Meta sedimentary. Primary magnetite alteration with Pyrrhotite,"Mineralized, spinel-cordierite-actinolite metasomatite (micro-schist)",,,,,,,,Spi-Cor-Act Metasomatite,,,,,,,,,,,,,,,,,,,,,94,1640,0.05,,,,7.25,1,308,0.1,0.19,0.11,0.17,78.2,375,11.93,14,0.11,31,7.39,1124,0.95,0.08,0.005,7.7,3.05,0.18,18.4,0.9,0.19,0.42,0.31,252,0.5,185,21.3,5,12.7,3.3,0.08,0.3,0.25,2,0.73,,0.2,7.2,40.5,1.4,4.32,,,,,,0.16,,,,,1,0.16
x,5,CRS01A,CRS01A-90.5,CRS01A-90.5,,,X,,x,,,,,Meta sedimentary. Primary magnetite pyrrhotite alteration replaced by late phyllic alteration,"Mineralized, silicic altered biotite-chlorite serpentinite",,,,,,,,Bt-Chl Serpentinite,,,,,,,,,,,,,,,,,,,,,60,3880,0.27,,,,5.29,2,1183,0.1,0.55,0.06,0.46,69.3,210,11.41,9.1,0.25,27,3.63,560,4.71,0.07,0.005,24.4,4.94,0.07,20.7,0.8,0.12,0.43,0.3,161,0.6,177,18.2,10,13,1.7,0.14,,0.96,2,0.67,,0.12,4.5,27.7,0.9,2.42,,,,,,0.1,,,,,0.7,0.12
x,6,CRS01A,CRS01A-104.4,CRS01A-104.4,,,X,,x,,x,,,Meta sedimentary. Primary magnetite pyrrhotite alteration replaced by late phyllic alteration,"Mineralized, quartz vein with carbonate",,,,,,,,Qtz-carb vein,,,,,,,,,,,,,,,,,,,,,60,2880,0.19,,,,3.8,2,9828,,0.33,0.1,0.48,49.1,151,12.6,8.2,0.12,21,2.95,605,14.2,0.05,0.005,29.7,6.53,0.17,169,,0.11,0.46,0.31,135,0.5,123,12,8,4,1.6,0.13,,0.7,1,0.41,,0.06,3.2,18.8,0.7,2.12,,,,,,0.06,,,,,0.5,0.07
,7,CRS01A,CRS01A-111.8,CRS01A-111.8,,,X,,x,,,,,Porphyritic rhyolite. with weakly sericitic alteration on the micro fractures. Py can be seen as a trace,Plagio-rhyolite (Plagio-granite porphyry),,,,,,,,Plagio-rhyolite porphyry,,,,,,,,,,,,,,,,,,,,,12,42.9,0.01,,,,7.87,2,436,2.7,0.21,0.67,0.04,2.1,16,1.61,20.9,0.61,9,0.81,317,0.35,4.47,0.0426,42.9,0.03,0.11,100,4.7,0.15,0.46,1.96,18,0.6,44,94.5,,5.4,7.1,0.04,1.3,,,3.01,,0.49,4.3,3.2,15.7,33.3,,,,,,0.21,,,,,0.3,0.05
x,8,CRS01A,CRS01A-114.8,CRS01A-114.8,,,X,,x,,x,,,"Metasediment with strong altered to APHY, ASER, APYR. cut by multiple PY veinlets","Mineralized, silicified cordierite-serpentine-actinolite metasomatite",,,,,,,,Cor-Serp-Act Metasomatite,,,,,,,,,,,,,,,,,,,,,77,3970,0.19,,,,7.42,2,544,0.4,0.36,0.17,0.71,79.4,278,13.64,12.2,0.42,38,5.28,981,17.1,0.14,0.005,19.3,5.43,,26,1.2,0.16,0.55,0.71,226,5.5,351,20.8,17,14.9,3.2,0.16,,1.07,3,1.09,,0.38,6.6,37.2,2,4.7,,,,,,0.15,,,,,1.1,0.19
