#,Hole ID,From,To,Sample Number,,Lithology,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Report,New Lithology by Petrographic,,,,HOLE_ID,SAMPLE_ID,Petrographic Sample # ,Petrographer,from,to,depth,Lithology,SAMPLE_ID,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
#,Hole ID,From,To,Sample Number,Sample Number ,Lithology,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,,New Lithology by Petrographic,sugar бэлтгэл,sugar өнгөлгөө,,HOLE_ID,SAMPLE_ID,Petrographic Sample # ,Petrographer,from,to,depth,Lithology,SAMPLE_ID,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
30,OVD022,89.05,89.15,OVD022-89.05,47159,Gabbro mineralized,x,,,,,x,Gabbro,,,0,OVD022,43897,47159,Altantsetseg,89,89.8,0.8,Gabbro mineralized,43897,0.01,0.02,0.03,1.1,5.26,<5,60,0.6,<2,3.7,0.7,144,652,1975,0.1975,2200,0.22,0.097,6,1.78,<5,17,206,<20,0.53,<10,<10,120,<10,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,OVD022,96.25,96.35,OVD022-96.25,47160,Gabbro mineralized,x,,,,,x,Gabbro,,,0,OVD022,43901,47160,Altantsetseg,95,97,2,Gabbro mineralized,43901,0.09,0.08,0.1,4.4,4.39,<5,120,0.5,3,2.43,2,399,547,8070,0.807,8550,0.855,0.079,34,8.23,<5,14,279,<20,0.43,<10,<10,104,<10,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,OVD022,99.25,99.35,OVD022-99.25,47161,Dolerite,x,,,,,x,Gabbro,,,0,OVD022,43906,47161,Altantsetseg,99,99.35,0.35,Dolerite,43906,*,*,*,1.1,6.65,6,170,0.7,<2,6.42,0.8,80,257,1760,0.176,1140,0.114,0.115,14,2.02,<5,30,779,<20,0.62,<10,<10,184,<10,79,,,,,,,,,,,,,,,,,,,,,,,,,,13.27,0.02,8.86,0.05,13.72,0.44,8.27,0.24,2.87,0.26,4.34,45.23,0.08,1.06,,,,,,
33,OVD022,105.6,105.7,OVD022-105.6,47162,Gabbro mineralized,x,,,,,x,Gabbro,,,0,OVD022,43910,47162,Altantsetseg,105,107,2,Gabbro mineralized,43910,0.06,0.05,0.07,2.2,6.58,9,200,0.7,<2,3.15,1.1,186,471,3990,0.399,3610,0.361,0.095,25,3.27,<5,19,513,<20,0.53,<10,<10,128,<10,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,OVD022,112.3,112.4,OVD022-112.3,47163,Dolerite,x,,,,,x,Gabbro,,,0,OVD022,43915,47163,Altantsetseg,111.8,112.4,0.6,Dolerite,43915,*,*,*,2.1,6.53,32,120,0.6,<2,6.09,1,182,334,5970,0.597,3630,0.363,0.112,15,3.35,<5,16,509,<20,0.53,<10,<10,120,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,0.01,8.48,0.07,16,0.33,9.05,0.23,2.67,0.26,8.44,40.3,0.06,0.87,,,,,,
35,OVD022,124.2,124.3,OVD022-124.2,47164,Spotted rock,x,,,,,x,,,,0,OVD022,43924,47164,Altantsetseg,124,126,2,Spotted rock,43924,*,*,*,<0.5,9.24,7,280,1,2,1.18,<0.5,32,109,102,0.0102,65,0.0065,0.095,13,1.62,<5,30,447,<20,0.46,<10,<10,165,<10,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,OVD022,136.8,136.9,OVD022-136.8,47165,Spotted rock,x,,,,,x,,,,0,OVD022,43931,47165,Altantsetseg,135,137,2,Spotted rock,43931,*,*,*,<0.5,8.71,<5,210,0.8,<2,0.6,<0.5,28,142,124,0.0124,78,0.0078,0.097,8,0.5,<5,32,431,<20,0.49,<10,<10,203,<10,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,OVD022,145,146,OVD022-145,47166,Gabbro Mineralized s,x,,,,,x,,,,0,OVD022,43939,47166,Altantsetseg,146.5,148,1.5,Gabbro Mineralized s,43939,0.04,0.05,0.05,1.3,6.93,81,160,0.6,<2,5.73,0.8,92,348,2340,0.234,1580,0.158,0.136,12,1.46,<5,20,658,<20,0.48,<10,<10,150,<10,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,OVD022,163.8,163.9,OVD022-163.8,47167,Siltstone,,x,,,,x,,,,0,OVD022,43949,47167,Altantsetseg,162,164.4,2.4,Siltstone,43949,*,*,*,<0.5,7.83,11,170,0.6,<2,6.4,<0.5,17,56,80,0.008,33,0.0033,0.124,11,0.94,<5,21,420,<20,0.5,<10,<10,124,<10,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,OVD023,15.65,15.75,OVD023-15.65,47168,Gabbro Mineralized,x,,,,,x,Peridodite,,,0,OVD023,43955,47168,Altantsetseg,14,16,2,Gabbro Mineralized p,43955,<0.01,0.01,<0.01,<0.5,3.9,<5,100,<0.5,<2,7.57,0.5,88,694,221,0.0221,772,0.0772,0.067,7,0.01,<5,13,327,<20,0.31,<10,<10,89,<10,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,OVD023,29.8,29.9,OVD023-29.8,47169,Dolerite,x,,,,,x,Gabbrodiorite,,,0,OVD023,43965,47169,Altantsetseg,29,30.8,1.8,Dolerite,43965,*,*,*,<0.5,6.97,9,100,0.6,<2,7.55,0.6,49,321,157,0.0157,192,0.0192,0.065,7,0.9,<5,37,368,<20,0.52,<10,<10,253,<10,83,,,,,,,,,,,,,,,,,,,,,,,,,,13.64,<0.01,10.5,0.07,11.07,0.42,11.55,0.2,1.46,0.14,2.17,45.48,0.04,0.9,,,,,,
41,OVD023,34.3,34.4,OVD023-34.3,47170,Gabbro mineralized M,x,,,,,x,Peridodite,,,0,OVD023,43969,47170,Altantsetseg,34,36,2,Gabbro mineralized M,43969,0.03,0.03,0.04,1.8,3.3,<5,90,<0.5,<2,2.5,1.5,199,942,3310,0.331,3100,0.31,0.066,22,2.65,<5,12,229,<20,0.33,<10,10,86,<10,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OVD023,65.7,65.8,OVD023-65.7,47171,Gabbro Mineralized M,x,,,,,x,Peridodite,,,0,OVD023,43986,47171,Altantsetseg,64,66,2,Gabbro Mineralized M,43986,0.03,0.03,0.03,1.7,4.23,7,100,0.5,<2,2.83,1.3,168,836,2550,0.255,2820,0.282,0.08,30,2.28,<5,14,322,<20,0.39,<10,10,88,<10,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,OVD023,83.8,83.9,OVD023-83.8,47172,Gabbro Mineralized M,x,,,,,x,Peridodite,,,0,OVD023,43997,47172,Altantsetseg,83,85,2,Gabbro Mineralized M,43997,<0.01,<0.01,<0.01,<0.5,4.47,7,100,0.5,<2,3.39,0.7,99,844,140,0.014,823,0.0823,0.075,6,0.24,<5,15,343,<20,0.39,<10,<10,99,<10,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,OVD023,124.5,124.6,OVD023-124.5,47173,Spotted rock,x,,,,,x,Spotted rock,,,0,OVD023,46024,47173,Altantsetseg,123.15,125,1.85,Spotted rock,46024,*,*,*,<0.5,8.93,12,100,0.6,<2,1.77,0.6,26,34,106,0.0106,18,0.0018,0.04,5,0.34,<5,29,426,<20,0.69,10,<10,234,<10,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,OVD023,135.4,135.5,OVD023-135.4,47174,Breccia,x,,,,,x,Breccia,,,0,OVD023,46031,47174,Altantsetseg,135,137,2,Breccia,46031,<0.01,<0.01,<0.01,<0.5,9.94,5,330,1,<2,1.02,<0.5,24,209,111,0.0111,102,0.0102,0.04,6,0.98,<5,37,387,<20,0.61,<10,<10,196,<10,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,OVD023,142.8,142.9,OVD023-142.8,47175,Siltstone,,x,,,,x,Siltstone,,,0,OVD023,46035,47175,Altantsetseg,141.7,143,1.3,Siltstone,46035,*,*,*,<0.5,9.24,7,210,0.8,<2,1.44,<0.5,34,155,141,0.0141,97,0.0097,0.117,8,1.08,<5,34,370,<20,0.65,<10,<10,211,<10,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,OVD023,144,114.1,OVD023-144,47176,Gabbro Mineralized P,x,,,,,x,Peridodite,,,0,OVD023,46018,47176,Altantsetseg,114,116,2,Gabbro Mineralized P,46018,0.01,0.01,0.01,<0.5,5.62,53,200,0.5,<2,4.3,0.7,94,628,684,0.0684,1045,0.1045,0.08,5,0.6,<5,16,526,<20,0.44,<10,10,105,<10,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,OVD026,14.9,15.1,OVD026-15,47177,Gabbro mineralized,x,,,,,x,,,,0,OVD026,47208,47177,Altantsetseg,14.8,15.5,0.6999999999999993,Hydrothermal alteration,47208,0.04,0.08,0.03,<0.5,4.87,82,50,0.7,<2,7.31,0.5,80,202,2550,0.255,777,0.0777,0.13,24,0.02,<5,14,224,<20,0.55,<10,<10,148,<10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,OVD026,16.4,16.6,OVD026-16.5,47178,Gabbro mineralized,x,,,,,,,,,0,OVD026,47210,47178,Altantsetseg,15.95,17.7,1.75,Hydrothermal altered gabbro,47210,0.03,0.01,0.01,<0.5,6.95,27,50,0.6,<2,9.74,<0.5,32,45,1185,0.1185,567,0.0567,0.246,15,0.01,<5,17,450,<20,0.53,<10,<10,101,<10,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,OVD026,19.9,20.1,OVD026-20,47179,Gabbro mineralized,x,,,,,x,,,,0,OVD026,47213,47179,Altantsetseg,19,21,2,Gabbro Mineralized,47213,0.01,0.01,0.01,<0.5,6.42,11,170,0.8,<2,5.9,<0.5,58,327,370,,531,0.0531,0.114,7,0.02,<5,17,521,<20,0.58,<10,<10,133,<10,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,OVD026,32.699999999999996,32.9,OVD026-32.8,47180,Hydrothermal altered gabbro,x,,,,,x,,,,0,OVD026,47223,47180,Altantsetseg,33.7,35.7,2,Gabbro Mineralized,47223,0.01,<0.01,<0.01,<0.5,5.98,<5,100,0.7,2,5.51,<0.5,57,403,112,,459,0.0459,0.112,7,0.02,<5,18,417,<20,0.56,<10,<10,132,<10,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,OVD026,42.3,42.5,OVD026-42.4,47181,Gabbro mineralized,x,,,,,x,,,,0,OVD026,47228,47181,Altantsetseg,41.05,43,1.9500000000000028,Gabbro Mineralized,47228,<0.01,<0.01,0.01,<0.5,5.77,<5,170,0.7,<2,4.71,<0.5,77,463,224,,627,0.0627,0.106,7,0.24,<5,17,538,<20,0.55,<10,10,129,<10,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,OVD026,51.1,51.300000000000004,OVD026-51.2,47182,Gabbro mineralized,x,,,,,x,,,,0,OVD026,47233,47182,Altantsetseg,51,53,2,Gabbro Mineralized,47233,<0.01,<0.01,<0.01,<0.5,5.9,7,220,0.6,<2,5.07,<0.5,68,488,129,,509,0.0509,0.1,7,0.27,<5,25,450,<20,0.6,<10,<10,151,<10,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,OVD026,61.699999999999996,61.9,OVD026-61.8,47183,Gabbro mineralized,x,,,,,x,,,,0,OVD026,47239,47183,Altantsetseg,61,63,2,Gabbro Mineralized,47239,<0.01,<0.01,0.01,<0.5,5.82,7,120,0.6,2,4.26,<0.5,74,561,210,,658,0.0658,0.094,9,0.36,<5,18,417,<20,0.55,<10,<10,124,<10,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,OVD026,71.7,71.89999999999999,OVD026-71.8,47184,Gabbro mineralized,x,,,,,x,,,,0,OVD026,47244,47184,Altantsetseg,71,73,2,Gabbro Mineralized,47244,0.01,<0.01,0.01,<0.5,5.23,<5,140,0.5,3,3.57,<0.5,91,683,420,,905,0.0905,0.088,7,0.47,<5,15,416,<20,0.47,<10,<10,109,<10,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,OVD026,84.10000000000001,84.3,OVD026-84.2,47185,Gabbro mineralized,x,,,,,x,,,,0,OVD026,47251,47185,Altantsetseg,83,85,2,Gabbro Mineralized,47251,0.02,0.02,0.02,1.1,4.58,5,90,0.5,<2,3.27,0.9,133,806,2280,0.228,1905,0.1905,0.079,16,1.44,<5,15,283,<20,0.44,<10,<10,103,<10,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,OVD026,91.7,91.89999999999999,OVD026-91.8,47186,Dense dissemination,x,,,,,x,,,,0,OVD026,47256,47186,Altantsetseg,91.2,93,1.7999999999999972,Dense disseminated,47256,0.04,0.03,0.04,1.4,4.64,7,90,<0.5,3,3.36,0.7,182,713,2570,0.257,2980,0.298,0.06,15,2.94,<5,14,305,<20,0.36,<10,<10,97,<10,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,OVD026,92.80000000000001,93,OVD026-92.9,47187,Dense dissemination,x,,,,,x,,,,0,OVD026,47257,47187,Altantsetseg,93,95,2,Dense disseminated,47257,0.05,0.04,0.06,2.9,3.53,6,90,<0.5,4,2.38,1.4,271,815,5500,0.55,5070,0.507,0.053,30,4.46,<5,11,277,<20,0.29,<10,<10,77,<10,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,OVD026,104.9,105.1,OVD026-105,47188,Massive sulphide top contact,x,,,,,x,,,,0,OVD026,47267,47188,Altantsetseg,104.1,105,0.9000000000000057,Gabbro Mineralized,47267,0.1,0.11,0.12,8.5,3.25,<5,60,<0.5,4,3.18,2.4,632,513,10000,1.65,>10000,1.045,0.023,66,>10.0,<5,11,445,<20,0.18,<10,<10,86,<10,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,OVD026,96.10000000000001,96.3,OVD026-96.2,47189,Net textured,x,,,,,x,,,,0,OVD026,47259,47189,Altantsetseg,96,98,2,Net textured,47259,0.1,0.11,0.14,5.8,1.98,<5,40,<0.5,5,1.39,2.8,467,889,10000,1.165,9720,0.972,0.03,62,8.82,<5,7,127,<20,0.16,<10,<10,51,<10,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,OVD026,106.7,106.89999999999999,OVD026-106.8,47190,Massive sulphide bottom contact,x,,,,,x,,,,0,OVD026,47271,47190,Altantsetseg,106.85,109,2.1500000000000057,Gabbro Mineralized,47271,0.07,0.07,0.1,3.7,4.34,<5,70,<0.5,6,4.44,1.7,291,632,6820,0.682,6590,0.659,0.032,38,6.57,<5,14,445,<20,0.23,10,<10,79,<10,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,OVD026,105.4,105.6,OVD026-105.5,47191,Massive sulphide,,,,,,x,,,,0,OVD026,47268,47191,Altantsetseg,105,106,1,MASSIVE SULPHIDE,47268,0.17,0.25,0.32,12,0.21,<5,<10,<0.5,9,0.2,4.6,1310,86,10000,3.15,>10000,3.44,0.002,77,>10.0,<5,1,15,<20,0.02,<10,<10,22,<10,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,OVD026,100.9,101.1,OVD026-101,47192,Net textured,x,,,,,x,,,,0,OVD026,47262,47192,Altantsetseg,100,101.55,1.5499999999999972,Net textured,47262,0.4,0.21,0.26,18,3.43,5,60,<0.5,6,3.07,6.6,379,579,10000,2.47,9410,0.941,0.031,135,9.42,<5,13,230,<20,0.21,<10,<10,90,<10,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,OVD026,110.9,111.1,OVD026-111,47193,Gabbro mineralized,x,,,,,x,,,,0,OVD026,47272,47193,Altantsetseg,109,111,2,Gabbro Mineralized,47272,0.08,0.05,0.05,4.4,6.03,7,110,<0.5,3,5.54,1.6,127,567,4560,0.456,2150,0.215,0.062,29,2.73,<5,17,353,<20,0.33,<10,10,104,<10,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,OVD027,52.1,52.300000000000004,OVD027-52.2,47194,Gabbro mineralized,x,,,,,x,Peridodite,ok,,0,OVD027,47306,47194,Altantsetseg,54,56,2,Mineralised gabbro,47306,0.03,0.01,0.03,1.5,3.32,<5,80,<0.5,3,2.34,1,189,874,2790,0.279,3060,0.306,0.061,20,2.16,<5,11,237,<20,0.3,<10,<10,77,<10,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,OVD027,64,64.2,OVD027-64.1,47195,Altered mineralized gabbro,x,,,,,x,Pyroxenite,ok,,0,OVD027,47312,47195,Altantsetseg,63.8,64.4,0.6000000000000085,Altered minerilized gabbro,47312,0.02,0.01,0.02,0.9,6.1,<5,30,<0.5,<2,7.15,0.9,99,467,1345,0.1345,1200,0.12,0.053,20,1.65,<5,29,170,<20,0.37,<10,10,107,<10,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,OVD027,67.5,67.69999999999999,OVD027-67.6,47196,Altered mineralized gabbro,x,,,,,x,Gabbro,ok,,0,OVD027,47314,47196,Altantsetseg,66.3,68,1.7000000000000028,Altered minerilized gabbro,47314,0.01,0.02,0.02,1.3,5.55,<5,30,<0.5,2,8.72,0.5,117,371,2030,0.203,1835,0.1835,0.049,11,3.12,<5,31,305,<20,0.4,<10,<10,107,<10,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,OVD027,79.60000000000001,79.8,OVD027-79.7,47197,Gabbro mineralized,x,,,,,x,Gabbro,ok,,0,OVD027,47321,47197,Altantsetseg,78,80,2,Mineralised gabbro,47321,0.05,0.05,0.07,1.7,5.05,5,110,<0.5,3,2.97,1,385,689,4170,0.417,6260,0.626,0.057,22,6.16,<5,10,477,<20,0.31,<10,<10,78,<10,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,OVD027,78.9,79.1,OVD027-79,47198,Semi massive,x,,,,,x,Peridodite,ok,,0,OVD027,47322,47198,Altantsetseg,80,82,2,Mineralised gabbro,47322,0.03,0.04,0.05,1.3,3.6,<5,80,<0.5,5,2.26,0.9,381,793,3940,0.394,6090,0.609,0.054,17,5.9,<5,10,257,<20,0.29,<10,<10,74,<10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,OVD027,94.30000000000001,94.5,OVD027-94.4,47199,Gabbro mineralized,x,,,,,x,,,,0,OVD027,47330,47199,Altantsetseg,94,96,2,Mineralised gabbro,47330,0.04,0.03,0.05,1.9,3.71,8,330,<0.5,5,2.24,1,263,901,4050,0.405,4460,0.446,0.071,30,4.01,<5,11,274,<20,0.46,<10,<10,160,<10,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,OVD027,98,98.19999999999999,OVD027-98.1,47200,Massive sulphide top contact,x,,,,,x,,,,0,OVD027,47333,47200,Altantsetseg,98.15,99,0.8499999999999943,MASSIVE SULPHIDE,47333,0.44,0.51,0.63,26.1,0.09,5,<10,<0.5,<2,0.03,11.4,901,4,10000,6.09,>10000,3.11,0.001,238,>10.0,<5,1,<1,<20,0.02,<10,<10,16,<10,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,OVD028,37.9,38.1,OVD028-38,OVD028-38,Gravely sandstone,,x,,,,x,,,,0,OVD028,47384,OVD028-38,Altantsetseg,33.14,35,1.8599999999999994,GRAVELY SANDSTONE,47384,,,,<0.5,7.86,6,280,0.8,<2,2.87,<0.5,39,260,95,,129,0.0129,0.09,8,0.27,<5,32,529,<20,0.51,<10,<10,218,<10,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,OVD029,122.35,122.45,OVD029-122.4,OVD029-122.4,Gabbro,x,,,,,x,,,,0,OVD029,47450,OVD029-122.4,Altantsetseg,123,124.5,1.5,Unmineralized Gabbro,47450,<0.01,<0.01,<0.01,<0.5,6.28,64,110,0.6,<2,4.99,<0.5,53,363,77,,298,0.0298,0.088,5,0.15,<5,21,466,<20,0.42,<10,<10,152,<10,74,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,0.01,6.97,0.09,9.68,0.18,11.9,0.15,2.71,0.21,0.38,42.5,0.05,0.82,100.6,,,,,
84,OVD029,129.35,129.45,OVD029-129.4,OVD029-129.4,Gabbro,x,,,,,x,,,,0,OVD029,47454,OVD029-129.4,Altantsetseg,129,131,2,Hydrothermal breccia,47454,0.01,<0.01,0.01,0.9,2.99,715,20,<0.5,<2,11.7,1.6,85,241,1215,0.1215,1360,0.136,0.042,81,1.17,<5,9,1035,<20,0.16,<10,<10,63,<10,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,OVD029,3.9,4.1,OVD029-4,OVD029-4,Granodiorite,x,,,,,x,,,,0,OVD029,47385,OVD029-4,Altantsetseg,2.9,5.3,2.4,TAXITIC GRANODIORITE,47385,<0.01,<0.01,<0.01,<0.5,7.92,<5,260,0.8,<2,5.07,<0.5,23,22,28,,27,0.0027,0.332,7,0.02,<5,22,672,<20,0.88,<10,<10,237,<10,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
