#,Hole ID,From,To,Sample Number,,Lithology,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Report,New Lithology by Petrographic,,,,HOLE_ID,SAMPLE_ID,Petrographic Sample # ,Petrographer,from,to,depth,Lithology,SAMPLE_ID,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
#,Hole ID,From,To,Sample Number,Sample Number ,Lithology,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,,New Lithology by Petrographic,sugar бэлтгэл,sugar өнгөлгөө,,HOLE_ID,SAMPLE_ID,Petrographic Sample # ,Petrographer,from,to,depth,Lithology,SAMPLE_ID,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
1,OVD024,13.7,13.8,OVD024-13.7,47130,Spotted rock,x,,,,,x,,,,0,OVD024,46045,47130,Altantsetseg,12,14,2,Spotted rock,46045,*,*,*,<0.5,9.5,<5,260,0.9,<2,1.96,<0.5,30,120,109,0.0109,89,0.0089,0.067,9,<0.01,<5,31,407,<20,0.51,<10,<10,169,<10,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,OVD024,18.6,18.7,OVD024-18.6,47131,Gabbro,,,,,,x,,,,0,OVD024,46048,47131,Altantsetseg,16.8,19,2.2,Gabbro,46048,<0.01,<0.01,<0.01,<0.5,6.91,<5,100,0.8,<2,7.76,<0.5,39,249,80,0.008,96,0.0096,0.076,2,0.01,<5,32,619,<20,0.51,<10,<10,230,<10,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,OVD024,30.4,30.5,OVD024-30.4,47132,Spotted rock,x,,,,,x,,,,0,OVD024,46056,47132,Altantsetseg,30,32,2,Spotted rock,46056,*,*,*,<0.5,8.79,<5,210,0.8,<2,3.12,<0.5,25,82,92,0.0092,97,0.0097,0.098,5,0.06,<5,26,428,<20,0.45,<10,<10,157,<10,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,OVD024,34.6,34.7,OVD024-34.6,47133,Spotted rock,x,,,,,x,,,,0,OVD024,46058,47133,Altantsetseg,34,36,2,Spotted rock,46058,*,*,*,<0.5,9.68,9,250,0.9,<2,0.89,<0.5,17,37,302,0.0302,171,0.0171,0.063,10,0.07,<5,22,360,<20,0.42,10,<10,127,<10,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,OVD024,42.2,42.3,OVD024-42.2,47134,Breccia,,,,,,x,,,,0,OVD024,46061,47134,Altantsetseg,40.35,42.5,2.15,Breccia,46061,<0.01,<0.01,<0.01,<0.5,8.96,<5,190,0.7,<2,1.36,<0.5,17,83,95,0.0095,42,0.0042,0.056,4,0.11,<5,26,317,<20,0.46,<10,<10,187,<10,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,OVD024,50.8,50.9,OVD024-50.8,47135,Gabbro Mineralized,,,,,,x,,,,0,OVD024,46067,47135,Altantsetseg,50,52,2,Gabbro Mineralized,46067,0.01,0.01,0.02,1.1,6.48,5,200,0.7,<2,4.59,0.9,108,476,1555,0.1555,1500,0.15,0.121,15,1.33,<5,18,541,<20,0.53,<10,<10,130,<10,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,OVD024,54,54.1,OVD024-54,47136,Spotted rock,,,,,,x,,,,0,OVD024,46070,47136,Altantsetseg,54.07,56,1.93,Spotted rock,46070,*,*,*,1.4,8.06,164,130,0.6,2,4.49,0.8,61,47,2120,0.212,1225,0.1225,0.089,17,2.07,<5,18,640,<20,0.46,<10,<10,131,<10,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,OVD024,73.5,73.6,OVD024-73.5,47137,Spotted rock,,,,,,x,,,,0,OVD024,46079,47137,Altantsetseg,72,74,2,Spotted rock,46079,*,*,*,<0.5,10.05,5,140,0.9,<2,0.59,<0.5,27,68,102,0.0102,40,0.004,0.035,7,1.1,<5,27,429,<20,0.5,10,<10,155,<10,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,OVD024,78,78.1,OVD024-78,47138,Gabbro Mineralized,x,,,,,x,,,,0,OVD024,46083,47138,Altantsetseg,78,80,2,Gabbro Mineralized,46083,0.01,0.01,0.02,1.2,5.98,16,20,<0.5,<2,6.32,1,96,415,1435,0.1435,1435,0.1435,0.093,13,1.25,<5,14,272,<20,0.48,<10,<10,104,<10,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,OVD024,86.9,87,OVD024-86.9,47139,Gabbro Mineralized,x,,,,,x,,,,0,OVD024,46087,47139,Altantsetseg,86,88,2,Gabbro Mineralized,46087,0.02,0.03,0.05,1.8,5.78,25,170,0.7,<2,3.12,1.1,270,378,3910,0.391,5050,0.505,0.139,5,5.26,<5,17,410,<20,0.57,10,<10,139,<10,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
